"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"41","Oregon","3421399","795327","3161","23.2",".10000","611813","4432","76.8999999994412",".30000","183514","2606","23.0999999998603",".30000","405719","2420","51.0",".20000","61802","997","7.79999999998836",".10000","147103","1518","18.5",".20000","794054","34693","750","4.4",".10000","114302","1467","14.4",".20000","144611","1506","18.2",".20000","36912","","765623","126002","1538","16.5",".20000","570258","2789","71.6999999992549",".20000","560163","467608","2571","83.5",".20000","138713","1476","17.3999999999069",".20000"
"42","Pennsylvania","12281054","2646643","5830","21.6",".00000","2124292","8288","80.2999999998137",".20000","522351","4422","19.6999999999534",".20000","1511097","4658","57.1",".10000","210711","1841","8",".10000","554273","2944","20.9",".10000","2643380","93707","1234","3.5",".00000","143859","1664","5.4",".10000","284483","2133","10.7",".10000","37636","","2454587","348616","2569","14.1999999999534",".10000","1851623","5074","70",".10000","1816476","1536753","4692","84.5999999996275",".10000","713381","3317","27",".10000"
"44","Rhode Island","1048319","245535","2073","23.4",".20000","187234","3029","76.2999999998137",".70000","58301","1813","23.6999999999534",".70000","149520","1712","60.9",".50000","18131","638","7.39999999996508",".30000","50770","1051","20.7",".40000","243533","6951","397","2.9",".20000","36117","962","14.7",".40000","57389","1199","23.4",".40000","37614","","222351","34486","1008","15.5",".40000","172617","1816","70.2999999998137",".40000","169681","148314","1706","87.3999999994412",".40000","61262","1148","25",".40000"
"45","South Carolina","4012012","960550","4087","23.9",".10000","603020","5529","62.7999999998137",".40000","357530","4408","37.1999999997206",".40000","490998","3139","51.1",".20000","67628","1233","7",".10000","153024","1835","15.9",".20000","933731","46441","1025","5.0",".10000","46711","1106","4.9",".10000","78650","1430","8.2",".10000","33569","","883724","139926","2028","15.7999999999302",".20000","645643","3520","67.1999999992549",".20000","659115","607814","3434","92.1999999992549",".20000","216816","2166","22.5999999998603",".20000"
"46","South Dakota","754844","167955","1462","22.3",".20000","143637","2133","85.5",".50000","24318","959","14.5",".50000","87210","1124","51.9",".50000","15935","505","9.5",".30000","29994","687","17.9",".40000","165921","8058","361","4.9",".20000","4574","298","2.7",".20000","12359","446","7.4",".30000","31302","","155444","26707","708","17.1999999999534",".40000","126295","1312","75.1999999992549",".40000","126173","114309","1260","90.5999999996275",".30000","30245","689","18",".40000"
"47","Tennessee","5689283","1358681","4863","23.9",".10000","1027980","7089","75.6999999992549",".30000","330701","4311","24.2999999998137",".30000","619407","3553","45.6",".20000","106926","1549","7.89999999996508",".10000","222687","2212","16.4",".20000","1347266","55251","1119","4.1",".10000","66257","1318","4.9",".10000","103548","1642","7.6",".10000","34018","","1288080","196308","2402","15.1999999999534",".20000","955282","4263","70.2999999998137",".20000","947630","896781","4156","94.5999999996275",".10000","294272","2526","21.6999999999534",".20000"
"48","Texas","20851820","5319826","9519","25.5",".00000","2395751","11248","45",".20000","2924075","12248","55",".20000","2436464","7014","45.8",".10000","401630","3001","7.5",".10000","870651","4368","16.4",".10000","5243046","207160","2166","4.0",".00000","1112630","5285","20.9",".10000","2031002","6972","38.2",".10000","35259","","5055170","899834","5120","17.7999999998137",".10000","3471384","8134","65.2999999998137",".10000","3476413","3200091","7870","92.0999999996275",".10000","1163503","5012","21.8999999999069",".10000"
"49","Utah","2233169","643790","2739","28.8",".10000","531376","3979","82.5",".30000","112414","2043","17.5",".30000","286800","2023","44.5",".30000","23186","613","3.59999999997672",".10000","97989","1238","15.2",".20000","640860","15901","508","2.5",".10000","67651","1131","10.5",".20000","105585","1283","16.4",".20000","35415","","626288","84937","1262","13.5999999999767",".20000","470905","2467","73.0999999996275",".20000","464816","415298","2353","89.2999999998137",".20000","149190","1510","23.1999999999534",".20000"
"50","Vermont","608827","131080","1062","21.5",".20000","124141","1272","94.6999999992549",".30000","6939","335","5.29999999998836",".30000","74454","846","56.8",".50000","9712","324","7.39999999996508",".20000","28391","545","21.7",".40000","130826","4597","224","3.5",".20000","4842","255","3.7",".20000","8446","302","6.4",".20000","34358","","117469","16645","468","14.1999999999534",".40000","97108","946","74.0999999996275",".40000","95403","81560","880","85.5",".40000","23599","499","18",".40000"
"51","Virginia","7078515","1704151","5439","24.1",".10000","1114173","7484","65.3999999994412",".30000","589978","5681","34.5999999996275",".30000","873061","4183","51.2",".20000","131249","1716","7.69999999995343",".10000","409180","2969","24.0",".20000","1621604","98677","1492","6.1",".10000","204246","2293","12.0",".10000","261672","2585","15.4",".10000","37712","","1569993","192756","2389","12.2999999999302",".10000","1164566","4717","68.2999999998137",".20000","1224218","1083321","4580","88.5",".10000","344017","2736","20.1999999999534",".10000"
"53","Washington","5894121","1396451","4936","23.7",".10000","1020397","7095","73.0999999996275",".30000","376054","4583","26.8999999999069",".30000","719045","3799","51.5",".20000","116358","1615","8.29999999993015",".10000","281639","2476","20.2",".20000","1362320","72414","1279","5.3",".10000","207606","2305","14.9",".20000","261989","2577","18.8",".20000","40164","","1335099","192406","2380","14.3999999999069",".20000","972769","4310","69.6999999992549",".20000","986957","834903","4048","84.5999999996275",".20000","257924","2375","18.5",".20000"
"54","West VA","1808344","400589","2260","22.2",".10000","374991","3409","93.5999999996275",".20000","25598","993","6.39999999996508",".20000","186610","1655","46.6",".30000","26968","659","6.69999999995343",".20000","49757","890","12.4",".20000","399946","17110","527","4.3",".10000","5314","321","1.3",".10000","14399","484","3.6",".10000","29874","","380345","87075","1271","22.8999999999069",".30000","251758","1884","62.7999999998137",".30000","246732","228525","1808","92.5999999996275",".20000","99496","1241","24.7999999998137",".30000"
"55","Wisconsin","5363675","1222928","3931","22.8",".10000","1023721","5691","83.6999999992549",".20000","199207","2739","16.2999999998137",".20000","670026","3098","54.8",".20000","108928","1322","8.89999999990687",".10000","234215","1915","19.2",".10000","1221961","43988","845","3.6",".10000","68668","1149","5.6",".10000","121728","1396","10.0",".10000","37856","","1151578","143225","1648","12.3999999999069",".10000","942131","3566","77",".20000","924411","819951","3372","88.6999999992549",".10000","253452","1988","20.6999999999534",".10000"
"56","Wyoming","493782","109646","1182","22.2",".20000","94145","1726","85.8999999994412",".70000","15501","766","14.0999999999767",".70000","51698","870","47.1",".60000","9784","396","8.89999999990687",".30000","16431","510","15.0",".40000","107578","6698","329","6.2",".30000","3705","268","3.4",".20000","8733","375","8.0",".30000","31771","","102487","16749","561","16.2999999998137",".50000","77416","1034","70.5999999996275",".60000","78041","69824","991","89.5",".40000","19233","550","17.5",".50000"
